set,indice
train,53019
train,33309
train,54722
train,55781
train,599
train,47644
train,61304
train,41599
train,9370
train,5501
train,55729
train,19366
train,4493
train,16930
train,37707
train,55605
train,3718
train,59687
train,34001
train,60720
train,60222
train,33848
train,46738
train,44738
train,30643
train,60565
train,30758
train,14043
train,61859
train,28372
train,42836
train,61504
train,32725
train,50911
train,47893
train,19560
train,44295
train,29258
train,43323
train,35873
train,36722
train,52130
train,51671
train,39658
train,14119
train,9213
train,16124
train,53006
train,46769
train,931
train,15511
train,5334
train,15286
train,3896
train,14680
train,19474
train,530
train,42593
train,34125
train,8338
train,51978
train,38302
train,23963
train,960
train,2016
train,52837
train,27673
train,12952
train,45667
train,53693
train,822
train,29306
train,37453
train,8560
train,48509
train,11365
train,53977
train,46490
train,35375
train,9956
train,573
train,38308
train,36247
train,41811
train,48923
train,50613
train,28088
train,22334
train,14504
train,21345
train,58999
train,21546
train,43849
train,45453
train,13913
train,50900
train,51034
train,38926
train,49403
train,35240
train,26695
train,56800
train,55683
train,44939
train,21753
train,2824
train,30970
train,30543
train,9137
train,11028
train,43733
train,60747
train,4912
train,3776
train,9734
train,14677
train,56262
train,17552
train,59504
train,55560
train,44246
train,60586
train,12178
train,9839
train,24082
train,54126
train,2598
train,28041
train,2955
train,16456
train,44164
train,18408
train,51402
train,42034
train,1152
train,25712
train,28309
train,20870
train,6808
train,37397
train,14281
train,16409
train,6531
train,55787
train,17778
train,22560
train,25430
train,52550
train,32510
train,7357
train,29092
train,25657
train,2724
train,15628
train,31782
train,2345
train,59094
train,299
train,10250
train,38382
train,35409
train,33434
train,20542
train,18517
train,49388
train,42315
train,26461
train,37339
train,31912
train,23797
train,26372
train,27009
train,22164
train,24937
train,30088
train,28417
train,992
train,27963
train,21612
train,28200
train,59976
train,27431
train,28844
train,44649
train,10139
train,7671
train,52502
train,58667
train,50815
train,45291
train,33505
train,8852
train,27058
train,25658
train,34802
train,51079
train,34172
train,18317
train,21184
train,14798
train,46443
train,9063
train,42588
train,31664
train,55036
train,49020
train,36183
train,14523
train,51263
train,54
train,55352
train,31368
train,27690
train,20637
train,39479
train,47993
train,39730
train,31182
train,51948
train,32017
train,9547
train,45433
train,575
train,21202
train,29765
train,17684
train,15527
train,23509
train,25349
train,10546
train,2901
train,9077
train,45309
train,54940
train,47098
train,23575
train,9702
train,7610
train,36500
train,33590
train,1300
train,27439
train,8789
train,54318
train,34882
train,55773
train,30553
train,29954
train,23662
train,60896
train,4825
train,49986
train,5238
train,18582
train,50927
train,30256
train,28791
train,552
train,41945
train,27637
train,45847
train,13418
train,18816
train,14278
train,9104
train,40713
train,105
train,3374
train,44365
train,60116
train,26220
train,53648
train,59198
train,2624
train,51336
train,26403
train,22347
train,50505
train,42016
train,53795
train,56133
train,1515
train,41908
train,36105
train,21864
train,34324
train,16687
train,2207
train,40688
train,49044
train,36548
train,19488
train,41738
train,19742
train,13945
train,16876
train,42594
train,32282
train,51637
train,47424
train,18821
train,38841
train,22548
train,36218
train,10174
train,33514
train,127
train,41254
train,55106
train,25146
train,24502
train,60069
train,30812
train,15027
train,55538
train,8058
train,59371
train,9152
train,53711
train,30164
train,46147
train,38897
train,49118
train,58266
train,4351
train,36329
train,57780
train,8612
train,57923
train,48255
train,10877
train,26385
train,24925
train,20796
train,23072
train,52843
train,58988
train,41656
train,61758
train,35328
train,18721
train,7443
train,41325
train,1562
train,26055
train,33531
train,56991
train,31425
train,12823
train,24327
train,29965
train,29383
train,40616
train,9834
train,30340
train,7196
train,51987
train,53257
train,49979
train,16884
train,31534
train,11836
train,27121
train,20823
train,42258
train,56977
train,1477
train,29501
train,36114
train,34841
train,37247
train,5783
train,34373
train,60894
train,20249
train,16974
train,28814
train,43180
train,24242
train,33984
train,56347
train,18315
train,3654
train,33396
train,23785
train,34819
train,59301
train,51329
train,477
train,1282
train,29642
train,10363
train,2094
train,40133
train,51877
train,32635
train,47708
train,30350
train,42344
train,21217
train,47336
train,7166
train,2694
train,18032
train,21215
train,28968
train,7412
train,44385
train,27012
train,55282
train,52616
train,10593
train,57280
train,29851
train,44623
train,38451
train,14409
train,43162
train,49006
train,19458
train,52478
train,12472
train,32678
train,15425
train,48484
train,41349
train,2003
train,12044
train,56744
train,17396
train,15778
train,1994
train,30443
train,21568
train,29850
train,7557
train,25348
train,5213
train,49418
train,15016
train,32771
train,57483
train,9212
train,29576
train,16095
train,39286
train,40744
train,54446
train,19767
train,51409
train,17671
train,28881
train,43644
train,41678
train,8641
train,8783
train,35047
train,5388
train,31658
train,42685
train,25441
train,24012
train,20331
train,60063
train,10292
train,42339
train,49462
train,14147
train,60774
train,52476
train,23547
train,29774
train,44044
train,27128
train,36408
train,40723
train,10255
train,35551
train,34176
train,15729
train,7373
train,21840
train,33884
train,56716
train,3339
train,9767
train,3236
train,20013
train,35001
train,45528
train,25870
train,12440
train,29318
train,33832
train,54018
train,51414
train,21226
train,34211
train,55367
train,2685
train,51514
train,16281
train,37509
train,5946
train,59286
train,51975
train,31689
train,34205
train,685
train,46621
train,4778
train,53436
train,9577
train,24875
train,42676
train,52915
train,42072
train,7137
train,34587
train,34570
train,52714
train,39391
train,36193
train,23025
train,10776
train,25004
train,20026
train,19730
train,41921
train,61960
train,50857
train,19778
train,7631
train,5062
train,30955
train,41913
train,11019
train,15498
train,15318
train,51015
train,47782
train,37429
train,18793
train,15090
train,26042
train,26236
train,49409
train,16378
train,23943
train,33476
train,1955
train,26251
train,60549
train,49404
train,12588
train,39683
train,1256
train,11203
train,55794
train,3513
train,41112
train,1396
train,21867
train,798
train,56778
train,13015
train,34388
train,26732
train,18779
train,8191
train,50008
train,34360
train,51304
train,31187
train,5881
train,20122
train,57338
train,51929
train,46102
train,42481
train,28885
train,49663
train,5635
train,26289
train,32295
train,4222
train,35384
train,60031
train,12978
train,53034
train,42459
train,58185
train,53424
train,54099
train,9023
train,27429
train,43744
train,29029
train,40433
train,13193
train,44795
train,6084
train,18314
train,40326
train,29743
train,51107
train,59907
train,52822
train,2669
train,49651
train,8700
train,44361
train,29311
train,16936
train,54435
train,323
train,33657
train,20672
train,35974
train,30234
train,52563
train,56402
train,6708
train,1728
train,42911
train,25039
train,13817
train,53891
train,17771
train,21131
train,39043
train,47378
train,54400
train,38293
train,7914
train,51245
train,42893
train,51010
train,59884
train,1594
train,31412
train,7662
train,57749
train,40254
train,54512
train,37656
train,32414
train,54691
train,13189
train,21086
train,23350
train,15974
train,43710
train,57155
train,7332
train,39533
train,23764
train,40491
train,42822
train,49321
train,2180
train,32973
train,59930
train,52364
train,55062
train,25672
train,11429
train,16830
train,25463
train,17177
train,56767
train,42677
train,9732
train,24821
train,10953
train,4370
train,19343
train,19212
train,60212
train,49090
train,35886
train,16664
train,51193
train,3108
train,4306
train,34835
train,19302
train,34161
train,30240
train,19280
train,47977
train,20941
train,39488
train,10787
train,27385
train,39899
train,36419
train,31833
train,10523
train,24187
train,24472
train,37478
train,28119
train,5336
train,42060
train,38693
train,42442
train,13317
train,19016
train,39930
train,47118
train,46525
train,23256
train,13308
train,19204
train,41711
train,17359
train,3990
train,50365
train,56409
train,472
train,22522
train,1431
train,28587
train,1685
train,16005
train,42097
train,26171
train,50937
train,21609
train,39822
train,4079
train,42174
train,9592
train,55927
train,20600
train,59191
train,56077
train,45573
train,39786
train,51821
train,39781
train,15764
train,49136
train,52350
train,23578
train,44754
train,21592
train,27537
train,53671
train,1007
train,57331
train,4673
train,3863
train,6521
train,2980
train,45019
train,26383
train,21811
train,11618
train,3301
train,51252
train,11502
train,13997
train,61951
train,12215
train,53072
train,26749
train,21293
train,1103
train,60387
train,24873
train,18185
train,47937
train,13333
train,36868
train,4086
train,54910
train,44732
train,56550
train,443
train,22802
train,47359
train,10027
train,54421
train,38605
train,57999
train,60415
train,22585
train,37178
train,50948
train,48069
train,57157
train,4061
train,42120
train,28308
train,34943
train,58886
train,57681
train,61726
train,55584
train,18915
train,53422
train,19580
train,7810
train,43714
train,45790
train,35050
train,43564
train,54106
train,60154
train,991
train,2111
train,56684
train,59894
train,20384
train,58357
train,48655
train,15451
train,50302
train,4009
train,3387
train,48102
train,56104
train,55866
train,55586
train,45782
train,57434
train,43932
train,47842
train,1147
train,42672
train,11564
train,5299
train,42037
train,20348
train,5765
train,1052
train,51709
train,15925
train,51160
train,3343
train,2216
train,23404
train,8363
train,37541
train,24559
train,58152
train,49797
train,13489
train,946
train,41044
train,2056
train,59363
train,18991
train,40501
train,31401
train,53174
train,29987
train,41267
train,55752
train,18084
train,15041
train,44022
train,48505
train,32124
train,24338
train,32642
train,59941
train,10188
train,17995
train,18291
train,7277
train,55278
train,57717
train,50595
train,11877
train,8291
train,46810
train,23042
train,8509
train,35844
train,36667
train,28067
train,48947
train,13850
train,18355
train,31591
train,23056
train,14007
train,42692
train,27491
train,33899
train,49177
train,21860
train,16828
train,5066
train,32417
train,59947
train,43408
train,49416
train,32361
train,14637
train,27851
train,1082
train,65
train,42262
train,38368
train,50448
train,51515
train,8174
train,20453
train,6508
train,19923
train,37914
train,402
train,19128
train,54428
train,41739
train,41234
train,39122
train,9253
train,38003
train,16357
train,11043
train,21421
train,7462
train,54411
train,36377
train,13911
train,34751
train,25708
train,2988
train,48123
train,40049
train,6095
train,44493
train,41263
train,51799
train,38207
train,25113
train,60953
train,56090
train,18224
train,22219
train,40887
train,40666
train,30585
train,4576
train,35594
train,58720
train,38270
train,189
train,51180
train,9193
train,55970
train,60260
train,30766
train,52575
train,37978
train,44718
train,30228
train,12752
train,20199
train,54046
train,11305
train,3984
train,43981
train,38136
train,51912
train,21615
train,39105
train,8750
train,58753
train,12267
train,32879
train,42624
train,532
train,47697
train,32766
train,32211
train,52333
train,40323
train,34528
train,24656
train,37444
train,18527
train,25796
train,44276
train,3725
train,30721
train,1850
train,54769
train,7242
train,49615
train,28812
train,36141
train,11782
train,2539
train,54861
train,11053
train,60377
train,44684
train,49875
train,50196
train,37757
train,52908
train,48325
train,27795
train,60355
train,26014
train,38109
train,30429
train,31491
train,38157
train,56081
train,58311
train,25904
train,42398
train,45017
train,56585
train,2192
train,16107
train,49361
train,50660
train,23033
train,30329
train,11356
train,6900
train,53799
train,44789
train,30540
train,17595
train,53400
train,27729
train,2581
train,42932
train,20174
train,46216
train,15109
train,24830
train,6211
train,5321
train,11427
train,22920
train,257
train,60929
train,49856
train,56114
train,52228
train,28496
train,51120
train,17368
train,35671
train,5582
train,60488
train,61736
train,18868
train,31908
train,27922
train,24427
train,58135
train,17072
train,36394
train,32218
train,12354
train,39111
train,52251
train,36111
train,15770
train,33276
train,7313
train,43635
train,1306
train,59936
train,9733
train,14756
train,30295
train,44650
train,13512
train,39750
train,22791
train,39993
train,3213
train,1380
train,36495
train,23158
train,21142
train,56041
train,582
train,53941
train,42801
train,45775
train,52431
train,8526
train,37992
train,56290
train,2319
train,47925
train,1854
train,54586
train,13377
train,49896
train,28639
train,10942
train,40771
train,51882
train,52696
train,50212
train,44605
train,52576
train,34102
train,59327
train,54715
train,5701
train,19492
train,43889
train,3857
train,4457
train,56019
train,9086
train,26742
train,51523
train,43722
train,34600
train,10119
train,21517
train,18860
train,3557
train,10039
train,56812
train,45036
train,14219
train,45996
train,8797
train,53829
train,49531
train,13940
train,45717
train,16556
train,47698
train,39347
train,28180
train,27014
train,38919
train,45458
train,4671
train,13513
train,10043
train,31932
train,31763
train,44023
train,44934
train,26807
train,11962
train,25713
train,49985
train,26570
train,45991
train,26996
train,44234
train,43803
train,33475
train,30428
train,4733
train,34058
train,7493
train,41634
train,22785
train,29726
train,13380
train,60478
train,5522
train,32849
train,24379
train,1320
train,50438
train,41386
train,7132
train,57353
train,30145
train,57809
train,436
train,3755
train,2905
train,13537
train,34468
train,24483
train,2582
train,34714
train,56335
train,25515
train,60822
train,48220
train,23699
train,11315
train,56367
train,44226
train,28795
train,17665
train,40293
train,46194
train,2116
train,16483
train,3581
train,37121
train,31157
train,33308
train,17827
train,40083
train,3764
train,41682
train,4251
train,8690
train,31704
train,10103
train,3995
train,60468
train,22805
train,6711
train,13327
train,5632
train,34884
train,40304
train,35488
train,13790
train,37421
train,41697
train,23923
train,24312
train,61383
train,7783
train,46903
train,12641
train,35775
train,15698
train,27290
train,14491
train,34536
train,42338
train,19337
train,21342
train,21235
train,52059
train,18719
train,24177
train,57627
train,19099
train,2323
train,33412
train,36740
train,44637
train,2805
train,54328
train,995
train,43761
train,16960
train,2306
train,22051
train,5950
train,16396
train,57981
train,31223
train,59499
train,19024
train,28092
train,50994
train,43663
train,53853
train,20555
train,32982
train,168
train,28452
train,5794
train,52475
train,52036
train,24549
train,38864
train,55645
train,52866
train,60157
train,58557
train,14644
train,22555
train,10241
train,29766
train,52886
train,60985
train,13944
train,21653
train,43406
train,40802
train,52629
train,698
train,7528
train,20390
train,61226
train,31613
train,11580
train,31173
train,16101
train,8155
train,14341
train,34764
train,46804
train,32881
train,1500
train,13330
train,53086
train,37696
train,46699
train,6205
train,526
train,39030
train,5594
train,54898
train,37329
train,50548
train,33801
train,54972
train,39124
train,22561
train,32679
train,47258
train,16589
train,35115
train,18277
train,21414
train,52145
train,57304
train,2478
train,5246
train,39737
train,22107
train,25530
train,14987
train,48910
train,23904
train,33310
train,11714
train,19122
train,42117
train,50055
train,45053
train,60035
train,60732
train,38769
train,48790
train,31990
train,25794
train,28959
train,24708
train,12565
train,50577
train,49507
train,58851
train,30303
train,19174
train,49327
train,53543
train,4537
train,7669
train,921
train,39610
train,62116
train,20838
train,19922
train,51903
train,3179
train,54810
train,58397
train,4536
train,31627
train,16379
train,46697
train,28559
train,49075
train,9718
train,11768
train,30356
train,43788
train,43410
train,4338
train,23602
train,59535
train,7935
train,38247
train,27763
train,47009
train,4326
train,50935
train,19429
train,57542
train,29904
train,16308
train,34934
train,52657
train,30035
train,13872
train,38400
train,56034
train,45522
train,33975
train,42453
train,27003
train,30269
train,43634
train,51424
train,564
train,34481
train,22175
train,57446
train,23955
train,24717
train,60723
train,41889
train,36142
train,973
train,46491
train,22754
train,39412
train,4020
train,50284
train,10361
train,54206
train,23095
train,50023
train,19999
train,20894
train,49049
train,48818
train,4806
train,4503
train,44808
train,50677
train,48792
train,28609
train,34973
train,56368
train,5832
train,30478
train,40986
train,30805
train,45386
train,42710
train,32459
train,8652
train,45825
train,621
train,7426
train,32288
train,35077
train,53065
train,10696
train,60990
train,35614
train,26689
train,41145
train,1521
train,9897
train,45344
train,39264
train,10259
train,61644
train,872
train,57649
train,12173
train,23681
train,46112
train,55828
train,26397
train,50735
train,31209
train,15581
train,39411
train,40164
train,61669
train,8555
train,60791
train,31604
train,57562
train,45003
train,55939
train,14809
train,53136
train,43309
train,1222
train,50694
train,18803
train,44370
train,22011
train,8628
train,15515
train,17220
train,53268
train,30162
train,31458
train,37710
train,32240
train,46236
train,30502
train,25792
train,287
train,52460
train,36063
train,44484
train,40123
train,3617
train,52560
train,11529
train,42445
train,3333
train,4480
train,43353
train,38655
train,29655
train,12662
train,59458
train,61795
train,42376
train,43312
train,14433
train,11044
train,1115
train,21277
train,13126
train,49606
train,42171
train,37680
train,37946
train,3951
train,41793
train,53024
train,4228
train,56726
train,50384
train,8648
train,27137
train,44017
train,36464
train,31573
train,21046
train,49956
train,8290
train,24350
train,31146
train,40521
train,39137
train,6866
train,32496
train,3669
train,56989
train,5895
train,44347
train,8379
train,57256
train,36629
train,9069
train,35806
train,18773
train,36576
train,57114
train,20286
train,19992
train,10291
train,15260
train,22313
train,53350
train,29740
train,21168
train,33932
train,19298
train,58935
train,39918
train,34000
train,18786
train,17189
train,56508
train,26567
train,9102
train,52320
train,6209
train,29584
train,34157
train,50544
train,53564
train,10464
train,16675
train,43765
train,27887
train,33971
train,25962
train,54993
train,19182
train,46217
train,28541
train,61472
train,23712
train,46764
train,29872
train,10100
train,30135
train,4318
train,7477
train,39409
train,45437
train,29100
train,46184
train,25793
train,39871
train,57037
train,13007
train,22809
train,3272
train,57907
train,327
train,12674
train,20871
train,25717
train,3920
train,42246
train,56598
train,11306
train,56611
train,59490
train,34773
train,56500
train,2979
train,25320
train,4323
train,13930
train,51930
train,52749
train,22911
train,20035
train,15796
train,23348
train,44763
train,43927
train,56573
train,846
train,23169
train,160
train,51938
train,18522
train,14993
train,30089
train,10550
train,51088
train,43772
train,41626
train,47758
train,55597
train,38601
train,20551
train,29705
train,34591
train,6670
train,36282
train,32141
train,53224
train,21148
train,41249
train,25850
train,5892
train,51863
train,59376
train,52108
train,7684
train,34846
train,61577
train,55702
train,29093
train,16150
train,56072
train,14533
train,41026
train,15678
train,35992
train,9039
train,60979
train,54953
train,43393
train,16957
train,55313
train,58402
train,24411
train,49176
train,58534
train,58605
train,15323
train,18984
train,12721
train,56408
train,19814
train,26932
train,36507
train,24613
train,43787
train,9276
train,46242
train,52166
train,3955
train,33379
train,5538
train,58654
train,39283
train,42789
train,28640
train,1038
train,52016
train,37532
train,4400
train,27195
train,59329
train,52778
train,46130
train,35282
train,15799
train,18794
train,53730
train,50902
train,44728
train,2787
train,46897
train,6333
train,28136
train,15254
train,25250
train,33298
train,44504
train,58674
train,40637
train,17954
train,15738
train,48101
train,47589
train,714
train,11570
train,4134
train,54908
train,15702
train,47170
train,39486
train,27194
train,6774
train,12702
train,22737
train,24308
train,22127
train,59647
train,46191
train,14478
train,43839
train,19282
train,36827
train,28378
train,21754
train,33521
train,42313
train,42718
train,54001
train,46273
train,17121
train,43575
train,30840
train,19885
train,17105
train,22629
train,40903
train,55122
train,19508
train,24125
train,31318
train,44078
train,2064
train,30306
train,1971
train,59864
train,25806
train,28700
train,46867
train,19450
train,41245
train,49088
train,19984
train,54557
train,28015
train,3979
train,12835
train,52747
train,23473
train,32428
train,47852
train,39136
train,52805
train,48226
train,59818
train,43133
train,7819
train,22052
train,36032
train,36946
train,27719
train,32933
train,5546
train,15158
train,32349
train,45481
train,16313
train,33182
train,52187
train,35303
train,54796
train,20456
train,17033
train,60681
train,41932
train,18483
train,16843
train,3503
train,7152
train,1318
train,20183
train,48532
train,16864
train,11927
train,54244
train,58741
train,14917
train,47162
train,2634
train,4857
train,50579
train,44823
train,30383
train,1335
train,15305
train,32618
train,47289
train,23740
train,14723
train,24931
train,32752
train,31200
train,56996
train,39054
train,10006
train,17675
train,14435
train,18266
train,2833
train,36459
train,28199
train,32686
train,15554
train,26624
train,19602
train,5815
train,14568
train,38808
train,35784
train,59754
train,51428
train,6462
train,53336
train,61545
train,3412
train,30527
train,28322
train,20458
train,18257
train,51298
train,51840
train,6554
train,55550
train,24841
train,20471
train,55895
train,38957
train,59711
train,50778
train,12108
train,41720
train,57898
train,26925
train,44785
train,7488
train,60226
train,57150
train,2509
train,19764
train,22471
train,23841
train,54054
train,47312
train,23592
train,54682
train,33539
train,35081
train,24515
train,6160
train,7768
train,60312
train,22410
train,7666
train,59939
train,42623
train,34598
train,17223
train,59174
train,3949
train,61989
train,57870
train,61568
train,35346
train,47754
train,51874
train,11602
train,1716
train,54766
train,30271
train,10706
train,34234
train,40360
train,19399
train,40736
train,39174
train,25808
train,57607
train,19952
train,38739
train,18691
train,32540
train,58002
train,44548
train,43260
train,31328
train,60375
train,36889
train,2020
train,59743
train,22961
train,55979
train,39152
train,12401
train,57202
train,7147
train,59330
train,5937
train,16531
train,53950
train,36375
train,19154
train,16673
train,30770
train,36376
train,33731
train,5880
train,45781
train,55578
train,51221
train,23573
train,30451
train,27054
train,29056
train,51380
train,28686
train,25259
train,58060
train,38376
train,8062
train,30488
train,45460
train,9889
train,30198
train,8434
train,7165
train,34035
train,44095
train,26913
train,26120
train,5144
train,45995
train,61310
train,36354
train,56655
train,40856
train,18360
train,39986
train,44405
train,52247
train,57198
train,59912
train,31879
train,50027
train,34745
train,41227
train,39462
train,38932
train,37607
train,49838
train,15156
train,30879
train,52665
train,54086
train,48669
train,38014
train,2486
train,21005
train,28515
train,12009
train,30216
train,5212
train,40426
train,51060
train,53187
train,31245
train,26302
train,27269
train,7126
train,24418
train,37010
train,33808
train,18649
train,41126
train,57292
train,51550
train,51305
train,56245
train,41216
train,51755
train,10457
train,2541
train,37985
train,16617
train,8193
train,19291
train,14391
train,2338
train,51653
train,54230
train,9202
train,61362
train,31067
train,35141
train,39852
train,35997
train,56511
train,29818
train,16630
train,15870
train,46204
train,19888
train,56045
train,53273
train,50581
train,27779
train,11572
train,52700
train,9438
train,39298
train,51075
train,28902
train,37138
train,55205
train,16856
train,38654
train,33663
train,27567
train,43254
train,9789
train,25126
train,37749
train,11691
train,47045
train,38848
train,24290
train,4411
train,38599
train,39024
train,51216
train,19132
train,44102
train,27961
train,35357
train,59213
train,22021
train,37974
train,51895
train,50456
train,10130
train,2856
train,34948
train,53168
train,35449
train,52639
train,9521
train,15949
train,8447
train,20969
train,38610
train,40659
train,11743
train,32556
train,34626
train,60334
train,21805
train,56879
train,11134
train,23919
train,13218
train,41783
train,53606
train,26640
train,19335
train,61449
train,18397
train,6824
train,55922
train,34585
train,54641
train,38388
train,4738
train,31776
train,11716
train,34064
train,3082
train,52121
train,23005
train,14110
train,52041
train,28919
train,43800
train,46737
train,11607
train,48883
train,61589
train,56383
train,42810
train,12764
train,8519
train,48376
train,25331
train,62075
train,51898
train,6362
train,19436
train,56305
train,358
train,50527
train,52335
train,14542
train,46634
train,39053
train,19356
train,20438
train,24249
train,25383
train,20783
train,23398
train,6919
train,34507
train,47151
train,40504
train,57094
train,36424
train,2067
train,38589
train,51294
train,57171
train,15173
train,60654
train,53043
train,21924
train,43483
train,28596
train,9623
train,29820
train,43540
train,36411
train,56904
train,54632
train,27027
train,25381
train,24796
train,28081
train,5550
train,4060
train,61987
train,2520
train,44597
train,56089
train,1270
train,32341
train,20513
train,61752
train,44888
train,42827
train,47337
train,20220
train,23279
train,42270
train,14242
train,54464
train,60769
train,53032
train,44269
train,38304
train,54450
train,10774
train,22431
train,48211
train,45920
train,13259
train,28553
train,46789
train,37610
train,52007
train,6145
train,25659
train,54285
train,20719
train,48394
train,52812
train,6650
train,20899
train,61436
train,17865
train,33862
train,53309
train,26719
train,28301
train,26305
train,30642
train,39835
train,50833
train,7652
train,7032
train,4201
train,45655
train,28494
train,5314
train,55349
train,3324
train,19297
train,49877
train,54704
train,20227
train,8372
train,33597
train,44438
train,337
train,49610
train,61188
train,17924
train,45769
train,38174
train,39018
train,46064
train,15039
train,26562
train,24073
train,34105
train,35037
train,39947
train,42537
train,23134
train,21885
train,18584
train,27144
train,4807
train,21723
train,39460
train,39133
train,14576
train,1880
train,36855
train,29574
train,14827
train,54483
train,12197
train,5197
train,36598
train,55013
train,26604
train,22634
train,31780
train,31279
train,60393
train,26078
train,12562
train,23721
train,37175
train,57586
train,60284
train,44780
train,19346
train,31596
train,57558
train,18576
train,30237
train,39233
train,31051
train,8874
train,13034
train,37135
train,28717
train,59857
train,22838
train,49139
train,5530
train,17415
train,41845
train,20289
train,6164
train,53675
train,26455
train,17312
train,22959
train,54093
train,48595
train,8847
train,13958
train,41621
train,49793
train,42736
train,39415
train,7665
train,31122
train,42122
train,26553
train,47942
train,467
train,44696
train,42762
train,19334
train,57271
train,47601
train,20257
train,1003
train,31851
train,60102
train,53371
train,5719
train,47157
train,7209
train,2055
train,36587
train,25197
train,6810
train,61765
train,50853
train,45895
train,58154
train,17715
train,41331
train,41848
train,39399
train,31927
train,50358
train,31321
train,57370
train,27341
train,21130
train,45613
train,45941
train,38195
train,54633
train,41545
train,23066
train,33713
train,33614
train,33238
train,56024
train,37239
train,25549
train,40600
train,28073
train,5500
train,47928
train,53703
train,8963
train,60778
train,60945
train,9820
train,48759
train,29510
train,25251
train,13368
train,1638
train,35253
train,60194
train,17931
train,39564
train,15476
train,20516
train,57250
train,22815
train,841
train,7821
train,34940
train,26711
train,13747
train,34081
train,22251
train,41353
train,33841
train,52269
train,29052
train,27999
train,2451
train,52562
train,55690
train,2148
train,26377
train,30844
train,1073
train,44846
train,32153
train,40036
train,29231
train,6842
